startYear,startMonth,startDay,endYear,endMonth,endDay,event,image,group,groupTitle,groupColor
1534,5,1,,,,織田信秀の嫡男として誕生,,6,織田信長,
1548,1,1,,,,濃姫を娶る,https://www.touken-world.jp/wp/wp-content/uploads/2020/05/2fdf84803842d5dac9abae74a6de7a4b.jpg,6,織田信長,
1551,3,1,,,,家督を継ぐ,,6,織田信長,
1560,5,1,,,,桶狭間の戦い,https://www.touken-world-ukiyoe.jp/app/uploads/2020/07/b78870a2433f99d91d1e588b359aaae2-1024x1522.jpg,6,織田信長,
1567,11,1,,,,天下布武を使用,static/img/nobunaga_tenkafubu.jpg,6,織田信長,
1571,9,1,,,,延暦寺焼き討ち,https://www.touken-world.jp/wp/wp-content/uploads/2019/01/234ec3a4b7798f16f915a812282169dd.jpg,6,織田信長,
1575,5,1,,,,長篠の戦い,static/img/nobunaga_nagasino.jpg,6,織田信長,
1579,5,1,,,,安土城天守閣完成,static/img/nobunaga_azuchi.jpg,6,織田信長,
1582,6,1,,,,本能寺の変,static/img/nobunaga_honnoji.jpg,6,織田信長,
